Term: 防控,Freq: 173,TF: 0.012943288942091876,IDF: 0.6842467475153123,TF × IDF: 0.008856403360777273
Term: 传人,Freq: 32,TF: 0.0023941343707915607,IDF: 1.1314047788575314,TF × IDF: 0.0027087350683406407
Term: 传染病,Freq: 33,TF: 0.002468951069878797,IDF: 1.077047116534939,TF × IDF: 0.0026591766306788105
Term: 通报,Freq: 39,TF: 0.0029178512644022145,IDF: 0.9095560292411752,TF × IDF: 0.0026539492099660208
Term: SARS,Freq: 28,TF: 0.0020948675744426157,IDF: 1.2661033527549879,TF × IDF: 0.0026523188595795047
Term: 指导,Freq: 32,TF: 0.0023941343707915607,IDF: 1.103376055257288,TF × IDF: 0.0026416305377998813
Term: 监测,Freq: 34,TF: 0.0025437677689660334,IDF: 1.0064660422492315,TF × IDF: 0.002560215878832401
Term: 人群,Freq: 30,TF: 0.002244500972617088,IDF: 1.1314047788575314,TF × IDF: 0.0025394391265693506
Term: 海鲜,Freq: 30,TF: 0.002244500972617088,IDF: 1.1314047788575314,TF × IDF: 0.0025394391265693506
Term: 健康,Freq: 40,TF: 0.002992667963489451,IDF: 0.8450980400142567,TF × IDF: 0.0025290978303583924
Term: 隔离,Freq: 39,TF: 0.0029178512644022145,IDF: 0.8603380065709936,TF × IDF: 0.0025103383402864544
Term: 症状,Freq: 32,TF: 0.0023941343707915607,IDF: 1.028742436960384,TF × IDF: 0.0024629476270187256
Term: 旅游,Freq: 25,TF: 0.0018704174771809069,IDF: 1.3074960379132128,TF × IDF: 0.0024455634406576627
Term: 调查,Freq: 31,TF: 0.0023193176717043245,IDF: 1.0522235328099068,TF × IDF: 0.002440440634229172
Term: 疾病,Freq: 28,TF: 0.0020948675744426157,IDF: 1.1613680022349748,TF × IDF: 0.002432912169877248
Term: 预防,Freq: 33,TF: 0.002468951069878797,IDF: 0.9852767431792935,TF × IDF: 0.0024326000691992132
Term: 人类,Freq: 24,TF: 0.0017956007780936705,IDF: 1.353253528473888,TF × IDF: 0.0024299030886857182
Term: 密切接触,Freq: 28,TF: 0.0020948675744426157,IDF: 1.1314047788575314,TF × IDF: 0.002370143184798061
Term: 社会,Freq: 27,TF: 0.002020050875355379,IDF: 1.1613680022349748,TF × IDF: 0.002346022449524489
Term: 免费,Freq: 26,TF: 0.001945234176268143,IDF: 1.193552685606376,TF × IDF: 0.002321739475218149
Term: 退票,Freq: 21,TF: 0.0015711506808319617,IDF: 1.462397997898956,TF × IDF: 0.0022976476100462426
Term: 曾光,Freq: 19,TF: 0.0014215172826574892,IDF: 1.608526033577194,TF × IDF: 0.0022865475563344823
Term: 防护,Freq: 34,TF: 0.0025437677689660334,IDF: 0.8925226899423949,TF × IDF: 0.0022703704517463286
Term: 流行病学,Freq: 25,TF: 0.0018704174771809069,IDF: 1.193552685606376,TF × IDF: 0.002232441803094374
Term: 扩散,Freq: 33,TF: 0.002468951069878797,IDF: 0.8925226899423949,TF × IDF: 0.0022035948502243776
Term: 发布,Freq: 33,TF: 0.002468951069878797,IDF: 0.8925226899423949,TF × IDF: 0.0022035948502243776
Term: 华南,Freq: 26,TF: 0.001945234176268143,IDF: 1.1314047788575314,TF × IDF: 0.0022008472430267707
Term: 流感疫苗,Freq: 16,TF: 0.0011970671853957803,IDF: 1.8303747831935504,TF × IDF: 0.002191081589936915
Term: 组织,Freq: 32,TF: 0.0023941343707915607,IDF: 0.8925226899423949,TF × IDF: 0.002136819248702427
Term: 传播者,Freq: 19,TF: 0.0014215172826574892,IDF: 1.462397997898956,TF × IDF: 0.002078824028137077
Term: 体温,Freq: 25,TF: 0.0018704174771809069,IDF: 1.103376055257288,TF × IDF: 0.0020637738576561575
Term: 发展,Freq: 23,TF: 0.0017207840790064341,IDF: 1.193552685606376,TF × IDF: 0.002053846458846824
Term: 处置,Freq: 22,TF: 0.001645967379919198,IDF: 1.2283147918655881,TF × IDF: 0.002021766079682997
Term: 世界卫生组织,Freq: 23,TF: 0.0017207840790064341,IDF: 1.1613680022349748,TF × IDF: 0.0019984635681134537
Term: 门诊,Freq: 19,TF: 0.0014215172826574892,IDF: 1.4044060509212692,TF × IDF: 0.001996387473253338
Term: 活动,Freq: 21,TF: 0.0015711506808319617,IDF: 1.2661033527549879,TF × IDF: 0.0019892391446846287
Term: 应急,Freq: 24,TF: 0.0017956007780936705,IDF: 1.103376055257288,TF × IDF: 0.0019812229033499113
Term: 超级,Freq: 18,TF: 0.0013467005835702528,IDF: 1.462397997898956,TF × IDF: 0.0019694122371824935
Term: 管控,Freq: 22,TF: 0.001645967379919198,IDF: 1.193552685606376,TF × IDF: 0.001964548786723049
Term: 呼吸道,Freq: 21,TF: 0.0015711506808319617,IDF: 1.2283147918655881,TF × IDF: 0.001929867621515588
Term: 进一步,Freq: 26,TF: 0.001945234176268143,IDF: 0.9852767431792935,TF × IDF: 0.0019165939939145317
Term: 风险,Freq: 22,TF: 0.001645967379919198,IDF: 1.1613680022349748,TF × IDF: 0.0019115738477606947
Term: 强化,Freq: 20,TF: 0.0014963339817447255,IDF: 1.2661033527549879,TF × IDF: 0.0018945134711282178
Term: 实验室,Freq: 20,TF: 0.0014963339817447255,IDF: 1.2661033527549879,TF × IDF: 0.0018945134711282178
Term: 日本,Freq: 20,TF: 0.0014963339817447255,IDF: 1.2661033527549879,TF × IDF: 0.0018945134711282178
Term: 部署,Freq: 25,TF: 0.0018704174771809069,IDF: 1.0064660422492315,TF × IDF: 0.0018825116756120597
Term: 机制,Freq: 21,TF: 0.0015711506808319617,IDF: 1.193552685606376,TF × IDF: 0.001875251114599274
Term: 期间,Freq: 27,TF: 0.002020050875355379,IDF: 0.9272847962016069,TF × IDF: 0.0018731624642707903
Term: 群众,Freq: 22,TF: 0.001645967379919198,IDF: 1.1314047788575314,TF × IDF: 0.0018622553594841906
Term: 专家组,Freq: 22,TF: 0.001645967379919198,IDF: 1.1314047788575314,TF × IDF: 0.0018622553594841906
Term: 全市,Freq: 17,TF: 0.0012718838844830167,IDF: 1.462397997898956,TF × IDF: 0.0018600004462279106
Term: 全球,Freq: 17,TF: 0.0012718838844830167,IDF: 1.462397997898956,TF × IDF: 0.0018600004462279106
Term: 控制,Freq: 23,TF: 0.0017207840790064341,IDF: 1.077047116534939,TF × IDF: 0.0018533655304731104
Term: 方案,Freq: 24,TF: 0.0017956007780936705,IDF: 1.028742436960384,TF × IDF: 0.001847210720264044
Term: 领导,Freq: 20,TF: 0.0014963339817447255,IDF: 1.2283147918655881,TF × IDF: 0.0018379691633481792
Term: 广东省,Freq: 17,TF: 0.0012718838844830167,IDF: 1.4044060509212692,TF × IDF: 0.0017862414234371972
Term: 京报,Freq: 17,TF: 0.0012718838844830167,IDF: 1.4044060509212692,TF × IDF: 0.0017862414234371972
Term: 暴发,Freq: 17,TF: 0.0012718838844830167,IDF: 1.4044060509212692,TF × IDF: 0.0017862414234371972
Term: 公众,Freq: 21,TF: 0.0015711506808319617,IDF: 1.1314047788575314,TF × IDF: 0.0017776073885985455
Term: 国务院,Freq: 18,TF: 0.0013467005835702528,IDF: 1.3074960379132128,TF × IDF: 0.001760805677273517
Term: 办理,Freq: 16,TF: 0.0011970671853957803,IDF: 1.462397997898956,TF × IDF: 0.0017505886552733275
Term: 机场,Freq: 21,TF: 0.0015711506808319617,IDF: 1.103376055257288,TF × IDF: 0.0017335700404311721
Term: 传染,Freq: 27,TF: 0.002020050875355379,IDF: 0.8450980400142567,TF × IDF: 0.0017071410354919144
Term: 包括,Freq: 18,TF: 0.0013467005835702528,IDF: 1.2661033527549879,TF × IDF: 0.0017050621240153959
Term: 病情,Freq: 18,TF: 0.0013467005835702528,IDF: 1.2661033527549879,TF × IDF: 0.0017050621240153959
Term: 医疗,Freq: 22,TF: 0.001645967379919198,IDF: 1.028742436960384,TF × IDF: 0.0016932764935753738
Term: 会议,Freq: 20,TF: 0.0014963339817447255,IDF: 1.1314047788575314,TF × IDF: 0.0016929594177129007
Term: 消毒,Freq: 20,TF: 0.0014963339817447255,IDF: 1.1314047788575314,TF × IDF: 0.0016929594177129007
Term: 科学,Freq: 20,TF: 0.0014963339817447255,IDF: 1.1314047788575314,TF × IDF: 0.0016929594177129007
Term: 可控,Freq: 20,TF: 0.0014963339817447255,IDF: 1.1314047788575314,TF × IDF: 0.0016929594177129007
Term: 省份,Freq: 14,TF: 0.0010474337872213078,IDF: 1.608526033577194,TF × IDF: 0.001684824515193829
Term: 湖北省,Freq: 16,TF: 0.0011970671853957803,IDF: 1.4044060509212692,TF × IDF: 0.0016811683985291268
Term: 水产,Freq: 13,TF: 0.0009726170881340715,IDF: 1.7054360465852505,TF × IDF: 0.001658736241628629
Term: 板蓝根,Freq: 13,TF: 0.0009726170881340715,IDF: 1.7054360465852505,TF × IDF: 0.001658736241628629
Term: 减少,Freq: 20,TF: 0.0014963339817447255,IDF: 1.103376055257288,TF × IDF: 0.001651019086124926
Term: 医疗机构,Freq: 19,TF: 0.0014215172826574892,IDF: 1.1613680022349748,TF × IDF: 0.0016509046867024181
Term: 佩戴,Freq: 16,TF: 0.0011970671853957803,IDF: 1.353253528473888,TF × IDF: 0.0016199353924571456
Term: 疑似病例,Freq: 18,TF: 0.0013467005835702528,IDF: 1.193552685606376,TF × IDF: 0.0016073580982279491
Term: 变异,Freq: 18,TF: 0.0013467005835702528,IDF: 1.193552685606376,TF × IDF: 0.0016073580982279491
Term: 商户,Freq: 14,TF: 0.0010474337872213078,IDF: 1.5293447875295691,TF × IDF: 0.001601887402769263
Term: 研究,Freq: 21,TF: 0.0015711506808319617,IDF: 1.0064660422492315,TF × IDF: 0.00158130980751413
Term: 社区,Freq: 15,TF: 0.001122250486308544,IDF: 1.4044060509212692,TF × IDF: 0.0015760953736210562
Term: 重症,Freq: 19,TF: 0.0014215172826574892,IDF: 1.103376055257288,TF × IDF: 0.0015684681318186796
Term: 不明,Freq: 19,TF: 0.0014215172826574892,IDF: 1.103376055257288,TF × IDF: 0.0015684681318186796
Term: 联防,Freq: 16,TF: 0.0011970671853957803,IDF: 1.3074960379132128,TF × IDF: 0.0015651606020209042
Term: 力度,Freq: 17,TF: 0.0012718838844830167,IDF: 1.2283147918655881,TF × IDF: 0.0015622737888459524
Term: 政府,Freq: 21,TF: 0.0015711506808319617,IDF: 0.9852767431792935,TF × IDF: 0.0015480182258540448
Term: 关系,Freq: 14,TF: 0.0010474337872213078,IDF: 1.462397997898956,TF × IDF: 0.0015317650733641618
Term: 提醒,Freq: 15,TF: 0.001122250486308544,IDF: 1.353253528473888,TF × IDF: 0.001518689430428574
Term: 尚未,Freq: 15,TF: 0.001122250486308544,IDF: 1.353253528473888,TF × IDF: 0.001518689430428574
Term: 确认,Freq: 17,TF: 0.0012718838844830167,IDF: 1.193552685606376,TF × IDF: 0.0015180604261041744
Term: 各类,Freq: 16,TF: 0.0011970671853957803,IDF: 1.2661033527549879,TF × IDF: 0.001515610776902574
Term: 维护,Freq: 16,TF: 0.0011970671853957803,IDF: 1.2661033527549879,TF × IDF: 0.001515610776902574
Term: 流行,Freq: 20,TF: 0.0014963339817447255,IDF: 1.0064660422492315,TF × IDF: 0.0015060093404896478
Term: 世卫,Freq: 13,TF: 0.0009726170881340715,IDF: 1.5293447875295691,TF × IDF: 0.00148746687400003
Term: 市民,Freq: 16,TF: 0.0011970671853957803,IDF: 1.2283147918655881,TF × IDF: 0.0014703753306785433
Term: 影响,Freq: 16,TF: 0.0011970671853957803,IDF: 1.2283147918655881,TF × IDF: 0.0014703753306785433
Term: 习近平,Freq: 15,TF: 0.001122250486308544,IDF: 1.3074960379132128,TF × IDF: 0.0014673380643945974
Term: 方法,Freq: 15,TF: 0.001122250486308544,IDF: 1.3074960379132128,TF × IDF: 0.0014673380643945974
Term: 死亡,Freq: 16,TF: 0.0011970671853957803,IDF: 1.193552685606376,TF × IDF: 0.0014287627539803993
Term: 高度重视,Freq: 16,TF: 0.0011970671853957803,IDF: 1.193552685606376,TF × IDF: 0.0014287627539803993
Term: 取消,Freq: 13,TF: 0.0009726170881340715,IDF: 1.462397997898956,TF × IDF: 0.0014223532824095787
Term: 整治,Freq: 15,TF: 0.001122250486308544,IDF: 1.2661033527549879,TF × IDF: 0.0014208851033461632
Term: 疾控中心,Freq: 15,TF: 0.001122250486308544,IDF: 1.2661033527549879,TF × IDF: 0.0014208851033461632
Term: 告诉,Freq: 14,TF: 0.0010474337872213078,IDF: 1.353253528473888,TF × IDF: 0.0014174434684000024
Term: 各方,Freq: 16,TF: 0.0011970671853957803,IDF: 1.1613680022349748,TF × IDF: 0.0013902355256441416
Term: 确保,Freq: 15,TF: 0.001122250486308544,IDF: 1.2283147918655881,TF × IDF: 0.0013784768725111343
Term: 完善,Freq: 15,TF: 0.001122250486308544,IDF: 1.2283147918655881,TF × IDF: 0.0013784768725111343
Term: N95,Freq: 12,TF: 0.0008978003890468353,IDF: 1.5293447875295691,TF × IDF: 0.0013730463452307968
Term: 早期,Freq: 12,TF: 0.0008978003890468353,IDF: 1.5293447875295691,TF × IDF: 0.0013730463452307968
Term: 蔓延,Freq: 14,TF: 0.0010474337872213078,IDF: 1.3074960379132128,TF × IDF: 0.0013695155267682913
Term: 诊断,Freq: 14,TF: 0.0010474337872213078,IDF: 1.3074960379132128,TF × IDF: 0.0013695155267682913
Term: 作用,Freq: 14,TF: 0.0010474337872213078,IDF: 1.3074960379132128,TF × IDF: 0.0013695155267682913
Term: 增长,Freq: 10,TF: 0.0007481669908723628,IDF: 1.8303747831935504,TF × IDF: 0.001369425993710572
Term: 综合征,Freq: 10,TF: 0.0007481669908723628,IDF: 1.8303747831935504,TF × IDF: 0.001369425993710572
Term: 病原体,Freq: 13,TF: 0.0009726170881340715,IDF: 1.4044060509212692,TF × IDF: 0.0013659493238049154
Term: 通风,Freq: 15,TF: 0.001122250486308544,IDF: 1.193552685606376,TF × IDF: 0.0013394650818566243
Term: 知识,Freq: 15,TF: 0.001122250486308544,IDF: 1.193552685606376,TF × IDF: 0.0013394650818566243
Term: 指示,Freq: 14,TF: 0.0010474337872213078,IDF: 1.2661033527549879,TF × IDF: 0.0013261594297897523
Term: 发烧,Freq: 11,TF: 0.000822983689959599,IDF: 1.608526033577194,TF × IDF: 0.001323790690509437
Term: 2003,Freq: 13,TF: 0.0009726170881340715,IDF: 1.353253528473888,TF × IDF: 0.0013161975063714308
Term: 变化,Freq: 13,TF: 0.0009726170881340715,IDF: 1.353253528473888,TF × IDF: 0.0013161975063714308
Term: 工作组,Freq: 12,TF: 0.0008978003890468353,IDF: 1.462397997898956,TF × IDF: 0.0013129414914549958
Term: 李克强,Freq: 12,TF: 0.0008978003890468353,IDF: 1.462397997898956,TF × IDF: 0.0013129414914549958
Term: 流感病毒,Freq: 12,TF: 0.0008978003890468353,IDF: 1.462397997898956,TF × IDF: 0.0013129414914549958
Term: 医护人员,Freq: 15,TF: 0.001122250486308544,IDF: 1.1613680022349748,TF × IDF: 0.0013033458052913826
Term: 介绍,Freq: 15,TF: 0.001122250486308544,IDF: 1.1613680022349748,TF × IDF: 0.0013033458052913826
Term: 广东,Freq: 15,TF: 0.001122250486308544,IDF: 1.1613680022349748,TF × IDF: 0.0013033458052913826
Term: 持续,Freq: 16,TF: 0.0011970671853957803,IDF: 1.077047116534939,TF × IDF: 0.0012892977603291204
Term: 规范,Freq: 14,TF: 0.0010474337872213078,IDF: 1.2283147918655881,TF × IDF: 0.0012865784143437254
Term: 过程,Freq: 10,TF: 0.0007481669908723628,IDF: 1.7054360465852505,TF × IDF: 0.0012759509550989455
Term: 之间,Freq: 13,TF: 0.0009726170881340715,IDF: 1.3074960379132128,TF × IDF: 0.0012716929891419845
Term: 动物,Freq: 15,TF: 0.001122250486308544,IDF: 1.1314047788575314,TF × IDF: 0.0012697195632846753
Term: 进出,Freq: 12,TF: 0.0008978003890468353,IDF: 1.4044060509212692,TF × IDF: 0.001260876298896845
Term: 联控,Freq: 12,TF: 0.0008978003890468353,IDF: 1.4044060509212692,TF × IDF: 0.001260876298896845
Term: 爱国卫生,Freq: 12,TF: 0.0008978003890468353,IDF: 1.4044060509212692,TF × IDF: 0.001260876298896845
Term: 运动,Freq: 12,TF: 0.0008978003890468353,IDF: 1.4044060509212692,TF × IDF: 0.001260876298896845
Term: 总书记,Freq: 12,TF: 0.0008978003890468353,IDF: 1.4044060509212692,TF × IDF: 0.001260876298896845
Term: 总理,Freq: 12,TF: 0.0008978003890468353,IDF: 1.4044060509212692,TF × IDF: 0.001260876298896845
Term: 航空公司,Freq: 11,TF: 0.000822983689959599,IDF: 1.5293447875295691,TF × IDF: 0.0012586258164615637
Term: 密集,Freq: 14,TF: 0.0010474337872213078,IDF: 1.193552685606376,TF × IDF: 0.0012501674097328494
Term: 日起,Freq: 14,TF: 0.0010474337872213078,IDF: 1.193552685606376,TF × IDF: 0.0012501674097328494
Term: 单位,Freq: 14,TF: 0.0010474337872213078,IDF: 1.193552685606376,TF × IDF: 0.0012501674097328494
Term: 惠民,Freq: 9,TF: 0.0006733502917851264,IDF: 1.8303747831935504,TF × IDF: 0.0012324833943395147
Term: 华晨,Freq: 9,TF: 0.0006733502917851264,IDF: 1.8303747831935504,TF × IDF: 0.0012324833943395147
Term: 场所,Freq: 16,TF: 0.0011970671853957803,IDF: 1.028742436960384,TF × IDF: 0.0012314738135093628
Term: 国际,Freq: 13,TF: 0.0009726170881340715,IDF: 1.2661033527549879,TF × IDF: 0.0012314337562333414
Term: 下午,Freq: 13,TF: 0.0009726170881340715,IDF: 1.2661033527549879,TF × IDF: 0.0012314337562333414
Term: 制度,Freq: 14,TF: 0.0010474337872213078,IDF: 1.1613680022349748,TF × IDF: 0.001216456084938624
Term: 资源,Freq: 12,TF: 0.0008978003890468353,IDF: 1.353253528473888,TF × IDF: 0.0012149515443428591
Term: 批发市场,Freq: 12,TF: 0.0008978003890468353,IDF: 1.353253528473888,TF × IDF: 0.0012149515443428591
Term: 医学观察,Freq: 11,TF: 0.000822983689959599,IDF: 1.462397997898956,TF × IDF: 0.0012035297005004127
Term: 能力,Freq: 11,TF: 0.000822983689959599,IDF: 1.462397997898956,TF × IDF: 0.0012035297005004127
Term: 购买,Freq: 10,TF: 0.0007481669908723628,IDF: 1.608526033577194,TF × IDF: 0.0012034460822813065
Term: 耿爽,Freq: 10,TF: 0.0007481669908723628,IDF: 1.608526033577194,TF × IDF: 0.0012034460822813065
Term: 季节,Freq: 10,TF: 0.0007481669908723628,IDF: 1.608526033577194,TF × IDF: 0.0012034460822813065
Term: 疫苗,Freq: 10,TF: 0.0007481669908723628,IDF: 1.608526033577194,TF × IDF: 0.0012034460822813065
Term: 预赛,Freq: 8,TF: 0.0005985335926978902,IDF: 2.0064660422492313,TF × IDF: 0.001200937328893749
Term: 承运,Freq: 8,TF: 0.0005985335926978902,IDF: 2.0064660422492313,TF × IDF: 0.001200937328893749
Term: 有效期,Freq: 8,TF: 0.0005985335926978902,IDF: 2.0064660422492313,TF × IDF: 0.001200937328893749
Term: 制定,Freq: 13,TF: 0.0009726170881340715,IDF: 1.2283147918655881,TF × IDF: 0.0011946799561763164
Term: 重点,Freq: 12,TF: 0.0008978003890468353,IDF: 1.3074960379132128,TF × IDF: 0.0011738704515156782
Term: 检查,Freq: 12,TF: 0.0008978003890468353,IDF: 1.3074960379132128,TF × IDF: 0.0011738704515156782
Term: 环境卫生,Freq: 12,TF: 0.0008978003890468353,IDF: 1.3074960379132128,TF × IDF: 0.0011738704515156782
Term: 公共卫生,Freq: 12,TF: 0.0008978003890468353,IDF: 1.3074960379132128,TF × IDF: 0.0011738704515156782
Term: 排查,Freq: 11,TF: 0.000822983689959599,IDF: 1.4044060509212692,TF × IDF: 0.0011558032739887748
Term: 聚集,Freq: 11,TF: 0.000822983689959599,IDF: 1.4044060509212692,TF × IDF: 0.0011558032739887748
Term: 离汉,Freq: 11,TF: 0.000822983689959599,IDF: 1.4044060509212692,TF × IDF: 0.0011558032739887748
Term: 实行,Freq: 11,TF: 0.000822983689959599,IDF: 1.4044060509212692,TF × IDF: 0.0011558032739887748
Term: 药物,Freq: 11,TF: 0.000822983689959599,IDF: 1.4044060509212692,TF × IDF: 0.0011558032739887748
Term: 变更,Freq: 9,TF: 0.0006733502917851264,IDF: 1.7054360465852505,TF × IDF: 0.0011483558595890508
Term: 指挥部,Freq: 10,TF: 0.0007481669908723628,IDF: 1.5293447875295691,TF × IDF: 0.0011442052876923308
Term: 涉及,Freq: 10,TF: 0.0007481669908723628,IDF: 1.5293447875295691,TF × IDF: 0.0011442052876923308
Term: 携手,Freq: 10,TF: 0.0007481669908723628,IDF: 1.5293447875295691,TF × IDF: 0.0011442052876923308
Term: 大规模,Freq: 10,TF: 0.0007481669908723628,IDF: 1.5293447875295691,TF × IDF: 0.0011442052876923308
Term: 接受,Freq: 12,TF: 0.0008978003890468353,IDF: 1.2661033527549879,TF × IDF: 0.0011367080826769306
Term: 防治,Freq: 12,TF: 0.0008978003890468353,IDF: 1.2661033527549879,TF × IDF: 0.0011367080826769306
Term: 泰国,Freq: 12,TF: 0.0008978003890468353,IDF: 1.2661033527549879,TF × IDF: 0.0011367080826769306
Term: 北京,Freq: 12,TF: 0.0008978003890468353,IDF: 1.2661033527549879,TF × IDF: 0.0011367080826769306
Term: 呼吸,Freq: 14,TF: 0.0010474337872213078,IDF: 1.077047116534939,TF × IDF: 0.0011281355402879803
Term: 累计,Freq: 11,TF: 0.000822983689959599,IDF: 1.353253528473888,TF × IDF: 0.0011137055823142877
Term: 追踪,Freq: 11,TF: 0.000822983689959599,IDF: 1.353253528473888,TF × IDF: 0.0011137055823142877
Term: 显示,Freq: 11,TF: 0.000822983689959599,IDF: 1.353253528473888,TF × IDF: 0.0011137055823142877
Term: 宣传,Freq: 13,TF: 0.0009726170881340715,IDF: 1.1314047788575314,TF × IDF: 0.0011004236215133854
Term: 病原,Freq: 13,TF: 0.0009726170881340715,IDF: 1.1314047788575314,TF × IDF: 0.0011004236215133854
Term: 日期,Freq: 8,TF: 0.0005985335926978902,IDF: 1.8303747831935504,TF × IDF: 0.0010955407949684575
Term: 租金,Freq: 8,TF: 0.0005985335926978902,IDF: 1.8303747831935504,TF × IDF: 0.0010955407949684575
Term: 一家,Freq: 8,TF: 0.0005985335926978902,IDF: 1.8303747831935504,TF × IDF: 0.0010955407949684575
