Term: 武汉,Count: 2439,TF: 0.02459388,IDF: 1.02975636,TF × IDF: 0.02532570
Term: 可爱,Count: 121,TF: 0.00122011,IDF: 2.36776992,TF × IDF: 0.00288895
Term: 扩散,Count: 120,TF: 0.00121003,IDF: 2.06673993,TF × IDF: 0.00250081
Term: 感谢,Count: 120,TF: 0.00121003,IDF: 2.24283119,TF × IDF: 0.00271389
Term: 蝙蝠,Count: 118,TF: 0.00118986,IDF: 1.90703909,TF × IDF: 0.00226911
Term: 可怕,Count: 118,TF: 0.00118986,IDF: 2.20806908,TF × IDF: 0.00262730
Term: 💪,Count: 118,TF: 0.00118986,IDF: 2.17588440,TF × IDF: 0.00258900
Term: 传播,Count: 118,TF: 0.00118986,IDF: 2.17588440,TF × IDF: 0.00258900
Term: 杭州,Count: 117,TF: 0.00117978,IDF: 2.54386118,TF × IDF: 0.00300119
Term: 点赞,Count: 117,TF: 0.00117978,IDF: 2.41892245,TF × IDF: 0.00285379
Term: 期待,Count: 116,TF: 0.00116969,IDF: 2.84489118,TF × IDF: 0.00332766
Term: 封省,Count: 116,TF: 0.00116969,IDF: 3.32201243,TF × IDF: 0.00388574
Term: 县城,Count: 111,TF: 0.00111927,IDF: 3.32201243,TF × IDF: 0.00371825
Term: 春晚,Count: 111,TF: 0.00111927,IDF: 3.32201243,TF × IDF: 0.00371825
Term: 举报,Count: 109,TF: 0.00109911,IDF: 2.14592117,TF × IDF: 0.00235860
Term: 内蒙古,Count: 109,TF: 0.00109911,IDF: 2.62304243,TF × IDF: 0.00288301
Term: 辽宁,Count: 108,TF: 0.00108902,IDF: 1.92407242,TF × IDF: 0.00209536
Term: 普及,Count: 107,TF: 0.00107894,IDF: 3.32201243,TF × IDF: 0.00358426
Term: 延迟,Count: 106,TF: 0.00106886,IDF: 1.75381071,TF × IDF: 0.00187457
Term: 乡镇,Count: 106,TF: 0.00106886,IDF: 2.62304243,TF × IDF: 0.00280366
Term: 预防,Count: 106,TF: 0.00106886,IDF: 2.71995244,TF × IDF: 0.00290725
Term: 拜年,Count: 106,TF: 0.00106886,IDF: 3.02098244,TF × IDF: 0.00322900
Term: 机场,Count: 105,TF: 0.00105877,IDF: 2.71995244,TF × IDF: 0.00287982
Term: 气死,Count: 102,TF: 0.00102852,IDF: 2.32201243,TF × IDF: 0.00238825
Term: 学生,Count: 102,TF: 0.00102852,IDF: 2.54386118,TF × IDF: 0.00261642
Term: 骂,Count: 101,TF: 0.00101844,IDF: 2.24283119,TF × IDF: 0.00228419
Term: 推迟,Count: 101,TF: 0.00101844,IDF: 2.62304243,TF × IDF: 0.00267141
Term: 祝福,Count: 101,TF: 0.00101844,IDF: 3.02098244,TF × IDF: 0.00307669
Term: 力度,Count: 101,TF: 0.00101844,IDF: 2.84489118,TF × IDF: 0.00289735
Term: 自觉,Count: 100,TF: 0.00100835,IDF: 2.11789245,TF × IDF: 0.00213559
Term: 新年快乐,Count: 100,TF: 0.00100835,IDF: 3.32201243,TF × IDF: 0.00334978
Term: 新疆,Count: 99,TF: 0.00099827,IDF: 2.14592117,TF × IDF: 0.00214222
Term: ⚠,Count: 98,TF: 0.00098819,IDF: 3.02098244,TF × IDF: 0.00298531
Term: 流动,Count: 98,TF: 0.00098819,IDF: 2.71995244,TF × IDF: 0.00268783
Term: 报道,Count: 98,TF: 0.00098819,IDF: 2.36776992,TF × IDF: 0.00233981
Term: 难关,Count: 96,TF: 0.00096802,IDF: 1.87485440,TF × IDF: 0.00181490
Term: 央视,Count: 96,TF: 0.00096802,IDF: 2.24283119,TF × IDF: 0.00217111
Term: 恐慌,Count: 96,TF: 0.00096802,IDF: 2.62304243,TF × IDF: 0.00253917
Term: 措施,Count: 95,TF: 0.00095794,IDF: 2.20806908,TF × IDF: 0.00211520
Term: 哭,Count: 94,TF: 0.00094785,IDF: 2.41892245,TF × IDF: 0.00229279
Term: 达,Count: 94,TF: 0.00094785,IDF: 1.69876314,TF × IDF: 0.00161018
Term: 超级,Count: 94,TF: 0.00094785,IDF: 2.84489118,TF × IDF: 0.00269655
Term: 春运,Count: 94,TF: 0.00094785,IDF: 3.02098244,TF × IDF: 0.00286346
Term: 电影,Count: 93,TF: 0.00093777,IDF: 2.36776992,TF × IDF: 0.00222043
Term: 南昌,Count: 93,TF: 0.00093777,IDF: 3.32201243,TF × IDF: 0.00311529
Term: 紧缺,Count: 92,TF: 0.00092769,IDF: 2.02098244,TF × IDF: 0.00187484
Term: 器材,Count: 92,TF: 0.00092769,IDF: 3.32201243,TF × IDF: 0.00308179
Term: 垃圾,Count: 91,TF: 0.00091760,IDF: 2.17588440,TF × IDF: 0.00199660
Term: 感动,Count: 91,TF: 0.00091760,IDF: 2.28061975,TF × IDF: 0.00209271
Term: 注意安全,Count: 91,TF: 0.00091760,IDF: 2.62304243,TF × IDF: 0.00240692
Term: 新年,Count: 91,TF: 0.00091760,IDF: 2.47691439,TF × IDF: 0.00227283
Term: 恭喜,Count: 91,TF: 0.00091760,IDF: 2.32201243,TF × IDF: 0.00213069
Term: 严惩,Count: 90,TF: 0.00090752,IDF: 2.62304243,TF × IDF: 0.00238047
Term: 前线,Count: 90,TF: 0.00090752,IDF: 2.14592117,TF × IDF: 0.00194747
Term: 早安,Count: 90,TF: 0.00090752,IDF: 3.02098244,TF × IDF: 0.00274161
Term: 工作人员,Count: 89,TF: 0.00089743,IDF: 2.28061975,TF × IDF: 0.00204671
Term: 西藏,Count: 89,TF: 0.00089743,IDF: 2.09156351,TF × IDF: 0.00187705
Term: 延迟开学,Count: 89,TF: 0.00089743,IDF: 3.02098244,TF × IDF: 0.00271114
Term: 酒席,Count: 89,TF: 0.00089743,IDF: 3.32201243,TF × IDF: 0.00298130
Term: 病人,Count: 88,TF: 0.00088735,IDF: 2.17588440,TF × IDF: 0.00193078
Term: 企业,Count: 88,TF: 0.00088735,IDF: 2.11789245,TF × IDF: 0.00187932
Term: 观察,Count: 88,TF: 0.00088735,IDF: 2.28061975,TF × IDF: 0.00202372
Term: 假期,Count: 88,TF: 0.00088735,IDF: 2.24283119,TF × IDF: 0.00199019
Term: 爆发,Count: 88,TF: 0.00088735,IDF: 2.02098244,TF × IDF: 0.00179333
Term: 👏,Count: 87,TF: 0.00087727,IDF: 2.84489118,TF × IDF: 0.00249574
Term: 江苏,Count: 87,TF: 0.00087727,IDF: 2.24283119,TF × IDF: 0.00196757
Term: 人群,Count: 87,TF: 0.00087727,IDF: 2.84489118,TF × IDF: 0.00249574
Term: 全世界,Count: 86,TF: 0.00086718,IDF: 2.17588440,TF × IDF: 0.00188690
Term: 厉害,Count: 86,TF: 0.00086718,IDF: 2.28061975,TF × IDF: 0.00197772
Term: 官员,Count: 86,TF: 0.00086718,IDF: 2.47691439,TF × IDF: 0.00214795
Term: 香港,Count: 86,TF: 0.00086718,IDF: 2.41892245,TF × IDF: 0.00209766
Term: 治疗,Count: 86,TF: 0.00086718,IDF: 2.24283119,TF × IDF: 0.00194495
Term: 飞机,Count: 86,TF: 0.00086718,IDF: 2.54386118,TF × IDF: 0.00220600
Term: 躺,Count: 85,TF: 0.00085710,IDF: 2.36776992,TF × IDF: 0.00202942
Term: 市场,Count: 85,TF: 0.00085710,IDF: 2.36776992,TF × IDF: 0.00202942
Term: 乱跑,Count: 84,TF: 0.00084702,IDF: 2.09156351,TF × IDF: 0.00177159
Term: 伤医,Count: 84,TF: 0.00084702,IDF: 2.41892245,TF × IDF: 0.00204888
Term: 👍,Count: 84,TF: 0.00084702,IDF: 2.54386118,TF × IDF: 0.00215470
Term: 大学生,Count: 84,TF: 0.00084702,IDF: 2.84489118,TF × IDF: 0.00240968
Term: 武汉市,Count: 83,TF: 0.00083693,IDF: 2.47691439,TF × IDF: 0.00207302
Term: 钟南山,Count: 83,TF: 0.00083693,IDF: 1.90703909,TF × IDF: 0.00159607
Term: 呼吁,Count: 83,TF: 0.00083693,IDF: 2.71995244,TF × IDF: 0.00227643
Term: 返乡,Count: 83,TF: 0.00083693,IDF: 3.02098244,TF × IDF: 0.00252837
Term: 播放,Count: 83,TF: 0.00083693,IDF: 3.32201243,TF × IDF: 0.00278031
Term: 红十字,Count: 82,TF: 0.00082685,IDF: 1.08146319,TF × IDF: 0.00089421
Term: 部门,Count: 82,TF: 0.00082685,IDF: 2.28061975,TF × IDF: 0.00188574
Term: 理解,Count: 82,TF: 0.00082685,IDF: 2.36776992,TF × IDF: 0.00195780
Term: 聚集,Count: 82,TF: 0.00082685,IDF: 2.62304243,TF × IDF: 0.00216887
Term: 发布,Count: 82,TF: 0.00082685,IDF: 2.11789245,TF × IDF: 0.00175118
Term: 中老年,Count: 82,TF: 0.00082685,IDF: 3.02098244,TF × IDF: 0.00249791
Term: 重庆政府,Count: 82,TF: 0.00082685,IDF: 3.32201243,TF × IDF: 0.00274682
Term: 中央,Count: 81,TF: 0.00081677,IDF: 2.32201243,TF × IDF: 0.00189655
Term: 辛苦,Count: 81,TF: 0.00081677,IDF: 1.73094783,TF × IDF: 0.00141378
Term: 保障,Count: 80,TF: 0.00080668,IDF: 2.36776992,TF × IDF: 0.00191005
Term: 负责,Count: 80,TF: 0.00080668,IDF: 1.96028460,TF × IDF: 0.00158133
Term: 身体,Count: 80,TF: 0.00080668,IDF: 2.62304243,TF × IDF: 0.00211597
Term: 新型冠状病毒,Count: 80,TF: 0.00080668,IDF: 2.84489118,TF × IDF: 0.00229493
Term: 潜伏期,Count: 80,TF: 0.00080668,IDF: 2.24283119,TF × IDF: 0.00180926
Term: 透明化,Count: 80,TF: 0.00080668,IDF: 3.02098244,TF × IDF: 0.00243698
Term: 麻将馆,Count: 80,TF: 0.00080668,IDF: 3.32201243,TF × IDF: 0.00267982
Term: 落实,Count: 79,TF: 0.00079660,IDF: 2.09156351,TF × IDF: 0.00166614
Term: 时期,Count: 79,TF: 0.00079660,IDF: 2.41892245,TF × IDF: 0.00192692
Term: 责任,Count: 79,TF: 0.00079660,IDF: 2.28061975,TF × IDF: 0.00181675
Term: 影响,Count: 79,TF: 0.00079660,IDF: 2.54386118,TF × IDF: 0.00202644
Term: 旅游,Count: 79,TF: 0.00079660,IDF: 2.41892245,TF × IDF: 0.00192692
Term: 短信,Count: 79,TF: 0.00079660,IDF: 3.02098244,TF × IDF: 0.00240652
Term: 数字,Count: 78,TF: 0.00078652,IDF: 2.04325883,TF × IDF: 0.00160706
Term: 密集,Count: 78,TF: 0.00078652,IDF: 2.54386118,TF × IDF: 0.00200079
Term: 麻丘,Count: 78,TF: 0.00078652,IDF: 3.32201243,TF × IDF: 0.00261283
Term: 不好,Count: 77,TF: 0.00077643,IDF: 2.06673993,TF × IDF: 0.00160469
Term: 走亲戚,Count: 76,TF: 0.00076635,IDF: 3.02098244,TF × IDF: 0.00231513
Term: 价格,Count: 76,TF: 0.00076635,IDF: 2.84489118,TF × IDF: 0.00218019
Term: 离开,Count: 75,TF: 0.00075626,IDF: 2.36776992,TF × IDF: 0.00179067
Term: 英雄,Count: 75,TF: 0.00075626,IDF: 2.84489118,TF × IDF: 0.00215150
Term: 守护,Count: 74,TF: 0.00074618,IDF: 2.41892245,TF × IDF: 0.00180496
Term: 救救,Count: 74,TF: 0.00074618,IDF: 2.41892245,TF × IDF: 0.00180496
Term: 省份,Count: 74,TF: 0.00074618,IDF: 2.28061975,TF × IDF: 0.00170176
Term: 省长,Count: 74,TF: 0.00074618,IDF: 2.32201243,TF × IDF: 0.00173265
Term: 优秀,Count: 74,TF: 0.00074618,IDF: 2.71995244,TF × IDF: 0.00202959
Term: 中老年人,Count: 74,TF: 0.00074618,IDF: 3.32201243,TF × IDF: 0.00247883
Term: 条件,Count: 73,TF: 0.00073610,IDF: 2.47691439,TF × IDF: 0.00182326
Term: 甘肃,Count: 73,TF: 0.00073610,IDF: 2.47691439,TF × IDF: 0.00182326
Term: 检测,Count: 73,TF: 0.00073610,IDF: 2.28061975,TF × IDF: 0.00167876
Term: 接受,Count: 72,TF: 0.00072601,IDF: 2.28061975,TF × IDF: 0.00165577
Term: 快递,Count: 72,TF: 0.00072601,IDF: 2.24283119,TF × IDF: 0.00162833
Term: 老百姓,Count: 71,TF: 0.00071593,IDF: 2.47691439,TF × IDF: 0.00177330
Term: 重点,Count: 71,TF: 0.00071593,IDF: 2.14592117,TF × IDF: 0.00153634
Term: 缺,Count: 71,TF: 0.00071593,IDF: 1.61444226,TF × IDF: 0.00115583
Term: 活动,Count: 71,TF: 0.00071593,IDF: 2.14592117,TF × IDF: 0.00153634
Term: 火神山,Count: 71,TF: 0.00071593,IDF: 1.94180119,TF × IDF: 0.00139020
Term: 心疼,Count: 71,TF: 0.00071593,IDF: 2.71995244,TF × IDF: 0.00194730
Term: 高三,Count: 71,TF: 0.00071593,IDF: 2.54386118,TF × IDF: 0.00182123
Term: 发短信,Count: 71,TF: 0.00071593,IDF: 3.32201243,TF × IDF: 0.00237834
Term: 网友,Count: 70,TF: 0.00070585,IDF: 2.14592117,TF × IDF: 0.00151470
Term: 告诉,Count: 70,TF: 0.00070585,IDF: 2.47691439,TF × IDF: 0.00174833
Term: 专家,Count: 70,TF: 0.00070585,IDF: 2.32201243,TF × IDF: 0.00163899
Term: 医护,Count: 70,TF: 0.00070585,IDF: 1.55858444,TF × IDF: 0.00110012
Term: 乘客,Count: 70,TF: 0.00070585,IDF: 2.71995244,TF × IDF: 0.00191988
Term: 放过,Count: 70,TF: 0.00070585,IDF: 2.62304243,TF × IDF: 0.00185147
Term: 紧张,Count: 70,TF: 0.00070585,IDF: 3.32201243,TF × IDF: 0.00234484
Term: 荆门,Count: 70,TF: 0.00070585,IDF: 3.32201243,TF × IDF: 0.00234484
Term: 严查,Count: 69,TF: 0.00069576,IDF: 2.11789245,TF × IDF: 0.00147356
Term: 发热,Count: 69,TF: 0.00069576,IDF: 2.20806908,TF × IDF: 0.00153630
Term: 聚餐,Count: 69,TF: 0.00069576,IDF: 2.84489118,TF × IDF: 0.00197938
Term: 环卫工人,Count: 69,TF: 0.00069576,IDF: 2.47691439,TF × IDF: 0.00172335
Term: 串门,Count: 68,TF: 0.00068568,IDF: 3.02098244,TF × IDF: 0.00207144
Term: 动物,Count: 68,TF: 0.00068568,IDF: 1.90703909,TF × IDF: 0.00130762
Term: 铁路,Count: 68,TF: 0.00068568,IDF: 3.02098244,TF × IDF: 0.00207144
Term: 爸妈,Count: 68,TF: 0.00068568,IDF: 3.32201243,TF × IDF: 0.00227785
Term: 开大,Count: 67,TF: 0.00067560,IDF: 3.02098244,TF × IDF: 0.00204097
Term: 门口,Count: 66,TF: 0.00066551,IDF: 2.04325883,TF × IDF: 0.00135982
Term: 办法,Count: 66,TF: 0.00066551,IDF: 2.47691439,TF × IDF: 0.00164842
Term: 新增,Count: 66,TF: 0.00066551,IDF: 1.96028460,TF × IDF: 0.00130460
Term: ❤,Count: 66,TF: 0.00066551,IDF: 2.71995244,TF × IDF: 0.00181017
Term: 小区,Count: 66,TF: 0.00066551,IDF: 2.32201243,TF × IDF: 0.00154533
Term: 封,Count: 66,TF: 0.00066551,IDF: 1.90703909,TF × IDF: 0.00126916
Term: 雷神山,Count: 66,TF: 0.00066551,IDF: 1.94180119,TF × IDF: 0.00129230
Term: 东三省,Count: 66,TF: 0.00066551,IDF: 2.62304243,TF × IDF: 0.00174567
Term: 资源,Count: 66,TF: 0.00066551,IDF: 2.84489118,TF × IDF: 0.00189332
Term: 大学,Count: 66,TF: 0.00066551,IDF: 2.32201243,TF × IDF: 0.00154533
Term: 转发,Count: 64,TF: 0.00064534,IDF: 2.71995244,TF × IDF: 0.00175532
Term: 症状,Count: 64,TF: 0.00064534,IDF: 2.20806908,TF × IDF: 0.00142497
Term: 军人,Count: 64,TF: 0.00064534,IDF: 3.32201243,TF × IDF: 0.00214386
Term: 减少,Count: 64,TF: 0.00064534,IDF: 3.32201243,TF × IDF: 0.00214386
Term: 到位,Count: 63,TF: 0.00063526,IDF: 2.14592117,TF × IDF: 0.00136323
Term: 民众,Count: 63,TF: 0.00063526,IDF: 2.06673993,TF × IDF: 0.00131293
Term: 医用,Count: 63,TF: 0.00063526,IDF: 2.09156351,TF × IDF: 0.00132869
Term: 顶,Count: 63,TF: 0.00063526,IDF: 1.97958975,TF × IDF: 0.00125756
Term: 贵州,Count: 63,TF: 0.00063526,IDF: 2.20806908,TF × IDF: 0.00140271
Term: 行业,Count: 63,TF: 0.00063526,IDF: 2.54386118,TF × IDF: 0.00161602
