Term: 加油,Count: 1394,TF: 0.02308635,IDF: 1.20474114,TF × IDF: 0.02781307
Term: 挺住,Count: 62,TF: 0.00102679,IDF: 3.02098244,TF × IDF: 0.00310193
Term: 比心,Count: 61,TF: 0.00101023,IDF: 2.84489118,TF × IDF: 0.00287400
Term: 祝福,Count: 61,TF: 0.00101023,IDF: 2.36776992,TF × IDF: 0.00239200
Term: 江苏,Count: 61,TF: 0.00101023,IDF: 3.32201243,TF × IDF: 0.00335601
Term: 强大,Count: 59,TF: 0.00097711,IDF: 2.36776992,TF × IDF: 0.00231357
Term: 报道,Count: 59,TF: 0.00097711,IDF: 2.28061975,TF × IDF: 0.00222842
Term: 战疫,Count: 59,TF: 0.00097711,IDF: 2.71995244,TF × IDF: 0.00265769
Term: 爆发,Count: 59,TF: 0.00097711,IDF: 2.71995244,TF × IDF: 0.00265769
Term: 胜利,Count: 59,TF: 0.00097711,IDF: 2.41892245,TF × IDF: 0.00236355
Term: 关心,Count: 59,TF: 0.00097711,IDF: 2.54386118,TF × IDF: 0.00248563
Term: 白衣天使,Count: 59,TF: 0.00097711,IDF: 3.02098244,TF × IDF: 0.00295183
Term: 注意安全,Count: 58,TF: 0.00096055,IDF: 2.20806908,TF × IDF: 0.00212096
Term: 患者,Count: 58,TF: 0.00096055,IDF: 2.62304243,TF × IDF: 0.00251956
Term: 公布,Count: 56,TF: 0.00092742,IDF: 2.32201243,TF × IDF: 0.00215350
Term: 嘲笑,Count: 56,TF: 0.00092742,IDF: 3.02098244,TF × IDF: 0.00280174
Term: 黑人,Count: 56,TF: 0.00092742,IDF: 2.54386118,TF × IDF: 0.00235924
Term: 啊啊啊,Count: 55,TF: 0.00091086,IDF: 2.41892245,TF × IDF: 0.00220331
Term: 张,Count: 55,TF: 0.00091086,IDF: 1.66879992,TF × IDF: 0.00152005
Term: 直播,Count: 55,TF: 0.00091086,IDF: 2.20806908,TF × IDF: 0.00201125
Term: 牡丹江,Count: 55,TF: 0.00091086,IDF: 2.71995244,TF × IDF: 0.00247751
Term: 回国,Count: 54,TF: 0.00089430,IDF: 2.62304243,TF × IDF: 0.00234580
Term: 中医,Count: 54,TF: 0.00089430,IDF: 2.71995244,TF × IDF: 0.00243247
Term: 哈哈哈哈,Count: 54,TF: 0.00089430,IDF: 2.20806908,TF × IDF: 0.00197468
Term: 好看,Count: 54,TF: 0.00089430,IDF: 2.36776992,TF × IDF: 0.00211751
Term: 医护,Count: 54,TF: 0.00089430,IDF: 2.14592117,TF × IDF: 0.00191911
Term: 物资,Count: 54,TF: 0.00089430,IDF: 3.32201243,TF × IDF: 0.00297089
Term: 返校,Count: 53,TF: 0.00087774,IDF: 1.99979314,TF × IDF: 0.00175530
Term: 骂,Count: 53,TF: 0.00087774,IDF: 2.41892245,TF × IDF: 0.00212319
Term: 外国人,Count: 53,TF: 0.00087774,IDF: 3.02098244,TF × IDF: 0.00265165
Term: 一个月,Count: 53,TF: 0.00087774,IDF: 2.54386118,TF × IDF: 0.00223286
Term: 冬天,Count: 53,TF: 0.00087774,IDF: 2.84489118,TF × IDF: 0.00249708
Term: 星星,Count: 53,TF: 0.00087774,IDF: 3.32201243,TF × IDF: 0.00291587
Term: 社会,Count: 52,TF: 0.00086118,IDF: 2.32201243,TF × IDF: 0.00199967
Term: 守护,Count: 52,TF: 0.00086118,IDF: 2.84489118,TF × IDF: 0.00244997
Term: 主席,Count: 52,TF: 0.00086118,IDF: 2.17588440,TF × IDF: 0.00187383
Term: 说话,Count: 51,TF: 0.00084462,IDF: 2.36776992,TF × IDF: 0.00199987
Term: 时刻,Count: 51,TF: 0.00084462,IDF: 2.47691439,TF × IDF: 0.00209205
Term: 难,Count: 51,TF: 0.00084462,IDF: 1.63181635,TF × IDF: 0.00137826
Term: 烟台,Count: 51,TF: 0.00084462,IDF: 3.32201243,TF × IDF: 0.00280584
Term: 优秀,Count: 50,TF: 0.00082806,IDF: 2.32201243,TF × IDF: 0.00192276
Term: 百姓,Count: 50,TF: 0.00082806,IDF: 2.17588440,TF × IDF: 0.00180176
Term: 最美,Count: 50,TF: 0.00082806,IDF: 2.20806908,TF × IDF: 0.00182841
Term: 人类命运共同体,Count: 49,TF: 0.00081150,IDF: 2.71995244,TF × IDF: 0.00220724
Term: 专家,Count: 49,TF: 0.00081150,IDF: 2.17588440,TF × IDF: 0.00176573
Term: 日记,Count: 49,TF: 0.00081150,IDF: 2.84489118,TF × IDF: 0.00230862
Term: 背后,Count: 49,TF: 0.00081150,IDF: 2.71995244,TF × IDF: 0.00220724
Term: 青岛,Count: 49,TF: 0.00081150,IDF: 2.62304243,TF × IDF: 0.00212859
Term: 欧洲,Count: 48,TF: 0.00079493,IDF: 2.32201243,TF × IDF: 0.00184585
Term: 英国,Count: 48,TF: 0.00079493,IDF: 2.71995244,TF × IDF: 0.00216219
Term: 忘记,Count: 48,TF: 0.00079493,IDF: 2.62304243,TF × IDF: 0.00208515
Term: 欢迎回家,Count: 48,TF: 0.00079493,IDF: 3.32201243,TF × IDF: 0.00264079
Term: 成果,Count: 48,TF: 0.00079493,IDF: 3.32201243,TF × IDF: 0.00264079
Term: 五一,Count: 47,TF: 0.00077837,IDF: 1.97958975,TF × IDF: 0.00154086
Term: 奋斗,Count: 47,TF: 0.00077837,IDF: 2.71995244,TF × IDF: 0.00211715
Term: 危险,Count: 47,TF: 0.00077837,IDF: 2.47691439,TF × IDF: 0.00192797
Term: 休息,Count: 47,TF: 0.00077837,IDF: 2.41892245,TF × IDF: 0.00188283
Term: 换来,Count: 47,TF: 0.00077837,IDF: 2.84489118,TF × IDF: 0.00221439
Term: 家里,Count: 47,TF: 0.00077837,IDF: 2.47691439,TF × IDF: 0.00192797
Term: 公知,Count: 47,TF: 0.00077837,IDF: 2.71995244,TF × IDF: 0.00211715
Term: 突破,Count: 47,TF: 0.00077837,IDF: 2.71995244,TF × IDF: 0.00211715
Term: 人间,Count: 47,TF: 0.00077837,IDF: 2.32201243,TF × IDF: 0.00180740
Term: 陕西,Count: 47,TF: 0.00077837,IDF: 2.36776992,TF × IDF: 0.00184301
Term: 前行,Count: 47,TF: 0.00077837,IDF: 2.62304243,TF × IDF: 0.00204171
Term: 家庭,Count: 46,TF: 0.00076181,IDF: 2.28061975,TF × IDF: 0.00173741
Term: 名字,Count: 46,TF: 0.00076181,IDF: 2.47691439,TF × IDF: 0.00188695
Term: 疫苗,Count: 46,TF: 0.00076181,IDF: 2.09156351,TF × IDF: 0.00159338
Term: 消防员,Count: 46,TF: 0.00076181,IDF: 2.24283119,TF × IDF: 0.00170862
Term: 寒冬,Count: 46,TF: 0.00076181,IDF: 3.02098244,TF × IDF: 0.00230143
Term: 不要脸,Count: 45,TF: 0.00074525,IDF: 2.28061975,TF × IDF: 0.00169964
Term: 严惩,Count: 45,TF: 0.00074525,IDF: 2.17588440,TF × IDF: 0.00162158
Term: 拐点,Count: 45,TF: 0.00074525,IDF: 2.71995244,TF × IDF: 0.00202705
Term: 死亡,Count: 45,TF: 0.00074525,IDF: 2.47691439,TF × IDF: 0.00184593
Term: 管理,Count: 44,TF: 0.00072869,IDF: 2.62304243,TF × IDF: 0.00191139
Term: 笑,Count: 44,TF: 0.00072869,IDF: 2.06673993,TF × IDF: 0.00150602
Term: 发展,Count: 44,TF: 0.00072869,IDF: 2.54386118,TF × IDF: 0.00185369
Term: 责任,Count: 44,TF: 0.00072869,IDF: 2.41892245,TF × IDF: 0.00176265
Term: 动物,Count: 44,TF: 0.00072869,IDF: 2.41892245,TF × IDF: 0.00176265
Term: 解决,Count: 43,TF: 0.00071213,IDF: 2.36776992,TF × IDF: 0.00168616
Term: 见证,Count: 43,TF: 0.00071213,IDF: 2.62304243,TF × IDF: 0.00186795
Term: 速度,Count: 43,TF: 0.00071213,IDF: 2.71995244,TF × IDF: 0.00193696
Term: 视频,Count: 43,TF: 0.00071213,IDF: 2.62304243,TF × IDF: 0.00186795
Term: 期间,Count: 43,TF: 0.00071213,IDF: 2.84489118,TF × IDF: 0.00202594
Term: 留学生,Count: 43,TF: 0.00071213,IDF: 3.02098244,TF × IDF: 0.00215134
Term: 四月,Count: 43,TF: 0.00071213,IDF: 3.02098244,TF × IDF: 0.00215134
Term: 四川,Count: 43,TF: 0.00071213,IDF: 2.84489118,TF × IDF: 0.00202594
Term: 重视,Count: 42,TF: 0.00069557,IDF: 2.71995244,TF × IDF: 0.00189192
Term: 灾难,Count: 42,TF: 0.00069557,IDF: 2.41892245,TF × IDF: 0.00168253
Term: 担心,Count: 42,TF: 0.00069557,IDF: 2.41892245,TF × IDF: 0.00168253
Term: 战士,Count: 42,TF: 0.00069557,IDF: 2.62304243,TF × IDF: 0.00182451
Term: 意义,Count: 42,TF: 0.00069557,IDF: 2.41892245,TF × IDF: 0.00168253
Term: 停,Count: 42,TF: 0.00069557,IDF: 2.32201243,TF × IDF: 0.00161512
Term: 哀悼,Count: 42,TF: 0.00069557,IDF: 3.32201243,TF × IDF: 0.00231069
Term: 地球,Count: 41,TF: 0.00067901,IDF: 2.84489118,TF × IDF: 0.00193171
Term: 取消,Count: 41,TF: 0.00067901,IDF: 2.47691439,TF × IDF: 0.00168185
Term: 西班牙,Count: 41,TF: 0.00067901,IDF: 2.84489118,TF × IDF: 0.00193171
Term: 不能放松,Count: 41,TF: 0.00067901,IDF: 3.02098244,TF × IDF: 0.00205127
Term: 压力,Count: 41,TF: 0.00067901,IDF: 3.02098244,TF × IDF: 0.00205127
Term: 身上,Count: 40,TF: 0.00066244,IDF: 2.47691439,TF × IDF: 0.00164082
Term: 赞,Count: 40,TF: 0.00066244,IDF: 2.20806908,TF × IDF: 0.00146273
Term: 工作人员,Count: 40,TF: 0.00066244,IDF: 2.62304243,TF × IDF: 0.00173763
Term: 封城,Count: 40,TF: 0.00066244,IDF: 2.71995244,TF × IDF: 0.00180182
Term: 非洲,Count: 40,TF: 0.00066244,IDF: 3.02098244,TF × IDF: 0.00200124
Term: 超级,Count: 40,TF: 0.00066244,IDF: 2.84489118,TF × IDF: 0.00188459
Term: ♥,Count: 39,TF: 0.00064588,IDF: 2.71995244,TF × IDF: 0.00175678
Term: 👏,Count: 39,TF: 0.00064588,IDF: 2.84489118,TF × IDF: 0.00183748
Term: 慢慢,Count: 39,TF: 0.00064588,IDF: 2.71995244,TF × IDF: 0.00175678
Term: 病,Count: 39,TF: 0.00064588,IDF: 1.53668260,TF × IDF: 0.00099252
Term: 台湾,Count: 39,TF: 0.00064588,IDF: 2.54386118,TF × IDF: 0.00164304
Term: 迎来,Count: 39,TF: 0.00064588,IDF: 2.71995244,TF × IDF: 0.00175678
Term: 轨迹,Count: 39,TF: 0.00064588,IDF: 2.84489118,TF × IDF: 0.00183748
Term: 支援,Count: 39,TF: 0.00064588,IDF: 3.02098244,TF × IDF: 0.00195121
Term: 高考,Count: 39,TF: 0.00064588,IDF: 2.84489118,TF × IDF: 0.00183748
Term: 妈妈,Count: 39,TF: 0.00064588,IDF: 3.32201243,TF × IDF: 0.00214564
Term: 默哀,Count: 39,TF: 0.00064588,IDF: 3.32201243,TF × IDF: 0.00214564
Term: 放假,Count: 38,TF: 0.00062932,IDF: 2.02098244,TF × IDF: 0.00127185
Term: 领导,Count: 38,TF: 0.00062932,IDF: 2.20806908,TF × IDF: 0.00138959
Term: 严查,Count: 38,TF: 0.00062932,IDF: 2.36776992,TF × IDF: 0.00149010
Term: 路上,Count: 38,TF: 0.00062932,IDF: 2.71995244,TF × IDF: 0.00171173
Term: 日本,Count: 38,TF: 0.00062932,IDF: 2.54386118,TF × IDF: 0.00160091
Term: 明白,Count: 38,TF: 0.00062932,IDF: 2.71995244,TF × IDF: 0.00171173
Term: 强,Count: 38,TF: 0.00062932,IDF: 1.75381071,TF × IDF: 0.00110371
Term: 人生,Count: 38,TF: 0.00062932,IDF: 2.84489118,TF × IDF: 0.00179036
Term: 核酸检测,Count: 38,TF: 0.00062932,IDF: 3.32201243,TF × IDF: 0.00209063
Term: 国际,Count: 37,TF: 0.00061276,IDF: 2.47691439,TF × IDF: 0.00151776
Term: 中央,Count: 37,TF: 0.00061276,IDF: 2.32201243,TF × IDF: 0.00142284
Term: 放心,Count: 37,TF: 0.00061276,IDF: 2.54386118,TF × IDF: 0.00155879
Term: 日子,Count: 37,TF: 0.00061276,IDF: 2.54386118,TF × IDF: 0.00155879
Term: 闹,Count: 37,TF: 0.00061276,IDF: 2.17588440,TF × IDF: 0.00133330
Term: 岁月,Count: 37,TF: 0.00061276,IDF: 2.84489118,TF × IDF: 0.00174325
Term: 记住,Count: 37,TF: 0.00061276,IDF: 3.02098244,TF × IDF: 0.00185115
Term: 海军,Count: 37,TF: 0.00061276,IDF: 2.71995244,TF × IDF: 0.00166669
Term: 感受,Count: 37,TF: 0.00061276,IDF: 2.71995244,TF × IDF: 0.00166669
Term: 严防严控,Count: 37,TF: 0.00061276,IDF: 2.84489118,TF × IDF: 0.00174325
Term: 快递,Count: 37,TF: 0.00061276,IDF: 2.47691439,TF × IDF: 0.00151776
Term: 治疗,Count: 37,TF: 0.00061276,IDF: 3.02098244,TF × IDF: 0.00185115
Term: 民族,Count: 37,TF: 0.00061276,IDF: 3.02098244,TF × IDF: 0.00185115
Term: 援助,Count: 36,TF: 0.00059620,IDF: 2.71995244,TF × IDF: 0.00162164
Term: 上网课,Count: 36,TF: 0.00059620,IDF: 2.28061975,TF × IDF: 0.00135971
Term: 回到,Count: 36,TF: 0.00059620,IDF: 2.71995244,TF × IDF: 0.00162164
Term: 早就,Count: 36,TF: 0.00059620,IDF: 2.84489118,TF × IDF: 0.00169613
